Transcription,Layer A_dhrithi,Layer B_dhrithi,Target_dhrithi,Span_dhrithi,Confidence_dhrithi,Comments_dhrithi,Unnamed: 7,Layer A_lavanya,Layer B_lavanya,Target_lavanya,Span_lavanya,Confidence_lavanya,Comments_lavanya,Layer_A_Match,Layer_B_Match
"BIDEN: Because we worked very hard to get a bipartisan agreement that not only changed all of that, but it made sure that we are in a situation where you had no circumstance where they could come across the border with the number of border police there are now. We significantly increased the number of asylum officers. Significantly – by the way, the Border Patrol men endorsed me, endorsed my position.",ANS,"AE,AP",,,1,,,ANS,"AE, PB, AP",,,1,,TRUE,FALSE
"In addition to that, we found ourselves in a situation where, when he was president, he was taking – separating babies from their mothers, putting them in cages, making sure the families were separated. That's not the right way to go.",S-Inform,"ATTR,PER",Trump,,1,,,"S-Inform, CH","GD, ATTR, PER, AF",Trump,,1,,TRUE,FALSE
"What I've done – since I've changed the law, what's happened? I've changed it in a way that now you're in a situation where there are 40 percent fewer people coming across the border illegally. That's better than when he left office.",S-Inform,AP,,,1,,,S-Inform,AP,,,1,,TRUE,TRUE
And I'm going to continue to move until we get the total ban on the – the total initiative relative to what we're going to do with more Border Patrol and more asylum officers.,S-Inform,AP,,,1,,,S-Inform,AP,,,1,,TRUE,TRUE
TAPPER: President Trump?,TG,,,,,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Trump?,TG,,,,,,,TG,,,,1,,TRUE,FALSE
TRUMP: I really don't know what he said at the end of that sentence. I don't think he knows what he said either.,"ANS,CH",,,,1,,,"ANS, CH","GD, PER",Biden,,1,,FALSE,FALSE
"Look, we had the safest border in the history of our country. The border – all he had to do was leave it. All he had to do was leave it. He decided to open up our border, open up our country to people that are from prisons, people that are from mental institutions, insane asylum, terrorists.","S-Inform,CH","ATTR,PER, AF",Biden,"ATTR,PER, AF Start",1,,,"S-Inform, CH","ATTR, PER, AF, PB, IT",Biden,"ATTR, PER, AF, PB start",1,,FALSE,TRUE
"We have the largest number of terrorists coming into our country right now. All terrorists all over the world, not just in South America, all over the world. They come from the Middle East, everywhere, all over the world. They're pouring in. And this guy just left it open.",S-Inform,"ATTR,PER, AF",Biden,"ATTR,PER, AF End",1,,,S-Inform,"ATTR, PER, AF, PB",Biden,"ATTR, PER, AF, PB end",1,,TRUE,TRUE
"And he didn't need legislation. Because I didn't have legislation, I said close the border. We had the safest border in history. In that final couple of months of my presidency, we had, according to Border Patrol, who is great – and, by the way, who endorsed me for president. But I won't say that. But they endorsed me for president. Brandon, just speak to him.",S-Inform,"PB,AP",,,1,,,S-Inform,"PB, AP",Biden,,1,,TRUE,FALSE
"But look, we had the safest border in history. Now we have the worst border in history. There's never been anything like it. And people are dying all over the place, including the people that are coming up in caravans.",S-Inform,"ATTR,AF",Biden,,1,,,S-Inform,"ATTR, AF",Biden,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump. President Biden?","THK,TG",,,,1,,,"THK, TG",,,,1,,FALSE,FALSE
"TAPPER: Thank you, President Trump. President Biden?","THK,TG",,,,1,,,"THK, TG",,,,1,,FALSE,FALSE
"BIDEN: The only terrorist who has done anything crossing the border is one who came along and killed three under his administration, killed – an al-Qaida person in his administration, killed three American soldiers – killed three American soldiers. That's the only terrorist that's there.",CH,AF,Trump,,1,,,CH,"AF, GD, ATTR, PB",Trump,,1,,TRUE,TRUE
"I'm not saying no terrorist ever got through. But the idea they're emptying their prisons, we're welcoming these people, that's simply not true. There's no data to support what he said. Once again, he's exaggerating. He's lying.",DIS,"PER,ATTR",Trump,,1,,,"DIS, CH","ATTR, PER",Trump,,1,,TRUE,FALSE
"TRUMP: Just one second. He said we killed three people. The people we killed are al-Baghdadi and Soleimani, the two greatest terrorists – biggest terrorists anywhere in the world, and it had a huge impact on everything, not just border, on everything.",ANS,"AF,ATTR",Biden,,1,,,"ANS, CH","AF, ATTR",Biden,,1,,TRUE,FALSE
"He's the one that killed people with the bad water, including hundreds of thousands of people dying and also killing our citizens when they come in. We – we are living right now in a rat's nest. They're killing our people in New York, in California, in every state in the union because we don't have borders anymore. Every state is now a border.",S-Inform,"ATTR,PER, PB",Biden,"ATTR,PER, PB START",1,,,S-Inform,"ATTR, AF, PB",Biden,"AF, PB, ATTR START",1,,TRUE,TRUE
"And because of his ridiculous, insane and very stupid policies, people are coming in and they're killing our citizens at a level that we've never seen. We call it migrant crime. I call it Biden migrant crime. They're killing our citizens at a level that we've never seen before. And you're reading it, like these three incredible young girls over the last few days.",S-Inform,"ATTR,PER, PB",Biden,,1,,,"S-Inform, CH","ATTR, PER, PB, AF",Biden,,1,,TRUE,TRUE
"One of them, I just spoke to the mother, and they just had the funeral for this girl, 12 years old. This is horrible, what's taken place. What's taken place in our country – we're literally an uncivilized country now. He doesn't want it to be. He just doesn't know.","S-Inform,CH","ATTR,AF,AE,PB",Biden,,1,,,"S-Inform, CH","AF, AE, PB, ATTR",Biden,,1,,FALSE,FALSE
"He opened the borders, nobody's ever seen anything like. And we have to get a lot of these people out and we have to get them out fast, because they're going to destroy our country.",S-Inform,"ATTR,AF,AE,PB",Biden,,1,,,"S-Inform, CH","AF, PB, ATTR",Biden,,1,,TRUE,FALSE
"Just take a look at where they're living. They're living in luxury hotels in New York City and other places. Our veterans are on the street. They're dying, because he doesn't care about our veterans. He doesn't care. He doesn't like the military, at all. And he doesn't care about our veterans.","S-Inform,CH","ATTR,AF,PB,PER",Biden,"ATTR,AF,PB,PER END",1,,,"S-Inform, CH","AF, PB, ATTR",Biden,"AF, PB, ATTR END",1,,FALSE,FALSE
"Nobody had been worse. I had the highest approval rating for veterans, taking care of the V.A. He has the worst. He's gotten rid of all the things that I approved – Choice, that I got through Congress. All of the different things I approved, they abandoned.",S-Inform,"ATTR,PER, AP",Biden,"ATTR,PER, AP Start",1,,,"S-Inform, CH","ATTR, PER, AP, IT",Biden,"ATTR, PER, AP start",1,,TRUE,TRUE
"We had, by far, the highest, and now it's down in less than half because he's done – all these great things that we did – and I think he did it just because I approved it, which is crazy. But he has killed so many people at our border by allowing –",S-Inform,"ATTR,PER, AP",Biden,"ATTR,PER, AP End ",1,,,S-Inform,"ATTR, PER, AP",Biden,"ATTR, PER, AP end",1,,TRUE,TRUE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
TRUMP: – all of these people to come in.,"TT,S-Inform",ATTR,Biden,,1,,,"TT, S-Inform",ATTR,Biden,,1,,FALSE,TRUE
TAPPER: President Biden –,"TT,TG",,,,1,,,"TT, TG",,,,1,,FALSE,FALSE
TRUMP: And it's a very sad day in America.,"TT,S",AE,,,1,,,"TT, S",AE,,,1,,FALSE,TRUE
"BIDEN: Every single thing he said is a lie, every single one. For example, veterans are a hell of a lot better off since I passed the PACT Act. One million of them now have insurance, and their families have it. And their families have it, because what happened, whether was Agent Orange or burn pits, they're all being covered now. And he – his group opposed that.","DIS,CH","ATTR,AP, PER",Trump,"ATTR,PER, AP Start",1,,,"DIS, CH","ATTR, PER, AP",Trump,"ATTR, PER, AP, start",1,,FALSE,TRUE
"We're also in a situation where we have great respect for veterans. My – my son spent a year in Iraq, living next to one of those burn pits, came back with stage four glioblastoma. I was recently in – in – in France for D-Day, and I spoke to all – about those heroes that died. I went to the World War II cemetery – World War I cemetery he refused to go to. He was standing with his four-star general, and he told him – he said, ""I don't want to go in there because they're a bunch of losers and suckers.""",S-Inform,"ATTR,PER, AP",Trump,"ATTR,PER,  AP End",1,,,S-Inform,"AP, ATTR, SE, PER",Trump,"ATTR, PER, AP, end",1,,TRUE,TRUE
My son was not a loser. He was not a sucker. You're the sucker. You're the loser.,S,"ATTR,PER, ",Trump,,1,,,,,,,1,,FALSE,FALSE
TAPPER: President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"TRUMP: First of all, that was a made-up quote, ""suckers and losers."" They made it up. It was in a third-rate magazine that's failing, like many of these magazines. He made that up. He put it in commercials. We've notified 'em.","DIS,CH,S-Inform","ATTR,PER",Biden,,1,,,"DIS, CH, S-Inform","ATTR, PER",Biden,,1,,FALSE,FALSE
"We had 19 people that said I didn't say it. And think of this, who would say – I'm at a cemetery, or I'm talking about our veterans – because nobody's taken better care – I'm so glad this came up, and he brought it up. There's nobody that's taken better care of our soldiers than I have.",S-Inform,"AP,ATTR, PER",Biden,ATTR PER START,1,,,S-Inform,"SE, ATTR, PER, AE",Biden,"SE, ATTR, PER  start",1,,TRUE,TRUE
"To think that I would, in front of generals and others, say suckers and losers – we have 19 people that said it was never said by me. It was made up by him, just like Russia, Russia, Russia was made up, just like the 51 intelligence agents are made up, just like the new thing with the 16 economists are talking.",S-Inform,"ATTR,PER",Biden,,1,,,S-Inform,"SE, ATTR, PER",Biden,,1,,TRUE,FALSE
"It's the same thing. Fifty-one intelligence agents said that the laptop was Russia disinformation. It wasn't. That came from his son, Hunter. It wasn't Russia disinformation. He made up the suckers and losers, so he should apologize to me right now.",S-Inform,"SE,PER,  ATTR",Biden,"ATTR,PER End",1,,,S-Inform,"SE, ATTR, PER",Biden,"SE, ATTR, PER end",1,,TRUE,FALSE
"BIDEN: You had a four-star general stand at your side, who was on your staff, who said you said it, period. That's number one.",CH,"REB,SE",Trump,,1,,,CH,"REB, SE",Trump,,1,,TRUE,FALSE
"And, number two, the idea – the idea that I have to apologize to you for anything along the lines. We've done more for veterans than any president has in American history – American history. And they now – and their family. The only sacred obligation we have as a country is to care for our veterans when they come home, and their families, and equip them when they go to war.",S-Inform,"PB,AP",,,1,,,S-Inform,"PB, AP",,,1,,TRUE,FALSE
That's what we're doing. That's what the V.A. is doing now. They're doing more for veterans than ever before in our history.,S-Inform,"PB,AP",,,1,,,S-Inform,"PB, AP",,,1,,TRUE,FALSE
TAPPER: All right. Thank you so much.,THK,,,,1,,,"TT, THK",,,,1,,TRUE,FALSE
"BASH: Let's move to the topic of foreign policy. I want to begin with Russia's war against Ukraine, which is now in its third year.","TT,S-Inform",,,,1,,,"TT, S-Inform",,,,1,,FALSE,FALSE
"Former President Trump, Russian President Vladimir Putin says he'll only end this war if Russia keeps the Ukrainian territory it has already claimed and Ukraine abandons its bid to join NATO. Are Putin's terms acceptable to you?","TG,Q-OQ",,,,1,,,"TG, Q-OQ",,,,1,,FALSE,FALSE
"TRUMP: First of all, our veterans and our soldiers can't stand this guy. They can't stand him. They think he's the worst commander in chief, if that's what you call him, that we've ever had. They can't stand him. So let's get that straight. And they like me more than just about any of them. And that's based on every single bit of information.",S-Inform,"GD,PER",Biden,,1,,,S-Inform,"GD, PER",Biden,,1,,TRUE,FALSE
"As far as Russia and Ukraine, if we had a real president, a president that knew – that was respected by Putin, he would have never – he would have never invaded Ukraine. A lot of people are dead right now, much more than people know.","S-Inform,CH","PB,ATTR",Biden,,1,,,"S-Inform, CH","PB, ATTR",Biden,,1,,FALSE,FALSE
"You know, they talk about numbers. You can double those numbers, maybe triple those numbers. He did nothing to stop it. In fact, I think he encouraged Russia from going in.","S-Inform,CH","PB,ATTR",Biden,,1,,,"S-Inform, CH","PB, ATTR",Biden,,1,,FALSE,FALSE
"I'll tell you what happened. He was so bad with Afghanistan; it was such a horrible embarrassment, most embarrassing moment in the history of our country, that when Putin watched that and he saw the incompetence that he should – he should have fired those generals like I fired the one that you mentioned. And so he's got no love lost. But he should have fired those generals.","S-Inform,CH","PB,ATTR",Biden,,1,,,"S-Inform, CH","PER, ATTR, PB",Biden,,1,,FALSE,FALSE
"No general got fired for the most embarrassing moment in the history of our country, Afghanistan, where we left billions of dollars of equipment behind; we lost 13 beautiful soldiers and 38 soldiers were obliterated. And by the way, we left people behind too. We left American citizens behind.",S-Inform,"PB,AF,AE",,,1,,,S-Inform,"PB, AF, AE",,,1,,TRUE,FALSE
"When Putin saw that, he said, you know what, I think we're going to go in and maybe take my – this was his dream. I talked to him about it, his dream. The difference is he never would have invaded Ukraine. Never. Just like Israel would have never been invaded in a million years by Hamas. You know why? Because Iran was broke with me. I wouldn't let anybody do business with them. They ran out of money. They were broke. They had no money for Hamas. They had no money for anything. No money for terror.",Q-RHET,"PB,AP",,,1,,,Q-RHET,"PB, AP",,,1,,TRUE,FALSE
"That's why you had no terror at all during my administration. This place, the whole world is blowing up under him.",S,AP,,,1,,,S,AP,,,1,,TRUE,TRUE
BASH: President Biden.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"BIDEN: I've never heard so much malarkey in my whole life. Look, the fact of the matter is that we're in a situation where – let's take the last point first, Iran attacked American troops, killed, caused brain damage for a number of these troops, and he did nothing about it. Recently, when he was president, they attacked. He said, they're just having headaches. That's all it is. We didn't do a thing when the attack took place. Number one.",ANS,"PER,AF,SE,  PB",,,1,,,ANS,"AF, SE, PER, PB",Trump,AF start,1,,TRUE,FALSE
"Number two, we got over 100,000 Americans and others out of Afghanistan during that airlift. Number three, we found ourselves in a situation where, if you take a look at what Trump did in Ukraine, he's – this guy told Ukraine – told Trump, do whatever you want and do whatever you want. And that's exactly what Trump did to Putin, encouraged him, do whatever you want. And he went in.",S-Inform,"ATTR,AF",Trump,,1,,,S-Inform,"ATTR, AF",Trump,ATTR  start,1,,TRUE,FALSE
"And listen to what he said when he went in, he was going to take Kyiv in five days, remember? Because it's part of the old Soviet Union. That's what he wanted to re-establish Kyiv. And he in fact, didn't do it at all. He didn't – wasn't able to get it done. And they've lost over – they've lost thousands and thousands of troops, 500,000 troops.","Q-RHET,CH","ATTR,PER,",Trump,,1,,,"Q-RHET, CH, HS","ATTR, PER, AF",Trump,"ATTR, AF end",1,,FALSE,FALSE
BASH: Thank you. President Trump –,THK,,,,1,,,"THK, TG",,,,1,,TRUE,FALSE
TRUMP: I never said that.,DIS,,,,1,,,"DIS, CH",,,,1,,TRUE,FALSE
"BASH: – come back to you for one minute. I just want to go back to my original question, which is, are Putin's terms acceptable to you, keeping the territory in Ukraine?","Q-OQ,TG",,,,1,,,"Q-OQ, TG",,,,1,,FALSE,FALSE
"TRUMP: No, they're not acceptable. No, they're not acceptable. But look, this is a war that never should have started. If we had a leader in this war, he led everybody along. He's given $200 billion now or more to Ukraine. He's given $200 billion. That's a lot of money. I don't think there's ever been anything like it. Every time that Zelenskyy comes to this country, he walks away with $60 billion dollars, he's the greatest salesman ever.","ANS,DIS","PB,ATTR,SE",,,1,,,"ANS, DIS","ATTR, PB, SE",,,1,,FALSE,FALSE
"And I'm not knocking him, I'm not knocking anything. I'm only saying, the money that we're spending on this war, and we shouldn't be spending, it should have never happened. I will have that war settled between Putin and Zelenskyy as president-elect before I take office on January 20th. I'll have that war settled.",S-Inform,"PB,AP,IP",,,1,,,S-Inform,"PB, AP, IP",,,1,,TRUE,FALSE
"People being killed so needlessly, so stupidly, and I will get it settled and I'll get it settled fast before I take office.",S-Inform,"AF,AP,IP",,,1,,,S-Inform,"AF, IP, AP",,,1,,TRUE,FALSE
"BASH: President Biden, you have a minute.",TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"BASH: President Biden, you have a minute.",TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"BIDEN: The fact is that Putin is a war criminal. He's killed thousands and thousands of people. And he has made one thing clear, he wants to re-establish what was part of the Soviet Empire, not just a piece, he wants all of Ukraine. That's what he wants. And then do you think he'll stop there? Do you think he'll stop when he – if he takes Ukraine? What do you think happens to Poland? What do you think of Belarus? What do you think happens to those NATO countries?","ANS,Q-RHET",,,,1,,,"ANS, Q-RHET, CH","AF, SE, PB",,,1,,FALSE,FALSE
"And so, if you want a war, you ought to find out what he's going to do. Because if, in fact, he does what he says and walks away – by the way, all that money we give Ukraine and from weapons we make here in the United States, we give them the weapons, not the money at this point. And our NATO allies have produced as much funding for Ukraine as we have. That's why it's – that's why we're strong.",S-Inform,"APAT,PB",,,1,,,S-Inform,"PB, APAT",,,1,,TRUE,FALSE
"BASH: Thank you. Moving on to the Middle East. In October, Hamas attacked Israel, killing more than a thousand people and taking hundreds of hostages. Among those held and thought to still be alive are five Americans. Israel's response has killed thousands of Palestinians and created a humanitarian crisis in Gaza.","THK,TT,S-Inform",,,,1,,,"TT, S-Inform",,,,1,,FALSE,FALSE
"President Biden, you've put forward a proposal to resolve this conflict. But so far, Hamas has not released the remaining hostages and Israel is continuing its military offensive in Gaza. So, what additional leverage will you use to get Hamas and Israel to end the war? You have two minutes.","TG,Q-OQ",,,,1,,,"TG, Q-OQ",AF,,,1,,FALSE,FALSE
"BIDEN: Number one, everyone from the United Nations Security Council straight through to the G7 to the Israelis and Netanyahu himself have endorsed the plan I put forward, endorsed the plan I put forward, which has three stages to it.",ANS,AP,,,1,,,ANS,AP,,,1,,TRUE,TRUE
"The first stage is to treat the hostages for a ceasefire. Second phase is a ceasefire with additional conditions. The third phase is know the end of the war. The only one who wants the war to continue is Hamas, number one. They're the only ones standing down (ph).",S-Inform,"AF,PB",,,1,,,S-Inform,"AF, PB",,,1,,TRUE,FALSE
"We're still pushing hard from – to get them to accept. In the meantime, what's happened in Israel? We're finally – the only thing I've denied Israel was 2,000-pound bombs. They don't work very well in populated areas. They kill a lot of innocent people. We are providing Israel with all the weapons they need and when they need them. And by the way, I'm the guy that organized the world against Iran when they had a full-blown kind of ballistic missile attack on Israel. No one was hurt. No one Israeli was accidentally killed. And it stopped. We saved Israel. We are the biggest producer of support for Israel than anyone in the world. And so, that's – they are two different things.",S-Inform,"AF,AE,PB,AP",,,1,,,S-Inform,"AF, AE, PB, AP",,,1,,TRUE,FALSE
"Hamas cannot be allowed to be continued. We continue to send our experts and our intelligence people to how they can get Hamas like we did Bin Laden. You don't have to do it. And by the way, they've been greatly weakened, Hamas, greatly weakened, and they should be. They should be eliminated. But, you got to be careful for what you use these certain weapons among population centers.",S-Inform,"AE,AP",,,1,,,S-Inform,"AE, AP",,,1,,TRUE,FALSE
"TRUMP: Just going back to Ukraine for one second. We have an ocean separating us. The European nations together have spent $100 billion or maybe more than that, less than us. Why doesn't he call them so you got to put up your money like I did with NATO? I got them to put up hundreds of billions of dollars. The Secretary General of NATO said Trump did the most incredible job I've ever seen. You wouldn't – they wouldn't have any – they were going out of business. We were spending – almost 100 percent of the money was paid by us. He didn't do that. He is getting all – you got to ask these people to put up the money. We're over $100 billion more spent, and it has a bigger impact on them, because of location, because we have an ocean in between.","Q-RHET,CH","REB,ATTR,  AP,PER",Biden,,1,,,"CH, Q-RHET","REB, AP, ATTR, PER",Biden,,1,,FALSE,FALSE
"You got to ask him, as far as Israel and Hamas, Israel is the one that wants to go. He said the only one who wants to keep going is Hamas. Actually, Israel is the one, and you should them go and let them finish the job. He doesn't want to do it. He has become like a Palestinian. But, they don't like him because he is a very bad Palestinian. He is a weak one.","S,CH","ATTR,PER",Biden,,1,,,CH,"ATTR, PER, PB",Biden,,1,,FALSE,FALSE
"BASH: President Biden, you have a minute.",TG,,,,,,,TG,,,,1,,TRUE,FALSE
"BASH: President Biden, you have a minute.",TG,,,,,,,TG,,,,1,,TRUE,FALSE
"BIDEN: I've never heard so much foolishness. This a guy who wants to get out of NATO. You're going to stay in NATO or you're going to pull out of NATO? The idea that we have – our strength lies in our alliances as well. It may be a big ocean, but we're ever able to avoid a war in Europe, a major war in Europe? What happens if in fact you have Putin continue to go into NATO? We have an Article Five agreement, attack on one is attack on all. You want to start the nuclear war he keeps talking about. Go ahead. Let Putin go in and control Ukraine and then move on to Poland and other places. See what happens then.","ANS,Q-RHET","ATTR,PB",Trump,,1,,,"ANS, Q-RHET, CH","AEX, PB, ATTR",Trump,,1,,FALSE,FALSE
"He has no idea what the hell he is talking about. And by the way, I got 50 other nations around the world to support Ukraine, including Japan and South Korea, because they understand that this was this – this kind of dislocation has a serious threat to the whole world peace. No major war in Europe has ever been able to be contained just to Europe.",S-Inform,"ATTR,PER,   AF,AP",Trump,,1,,,S-Inform,"ATTR, PER, AP, AF",Trump,,1,,TRUE,FALSE
"BASH: President Trump, just a follow-up, would you support the creation of an independent Palestinian state in order to achieve peace in the region?","TG,Q-OQ",,,,1,,,"TG, Q-YNQ",,,,1,,FALSE,FALSE
"TRUMP: I'd have to see. But, before we do that, the problem we have is that we spend all the money. So, they kill us on trade. I made great trade deals with the European nations, because if you add them up, they're about the same size economically. Their economy is about the same size as the United States. And they were with (ph) no cars. No. They don't want anything that we have. But, we're supposed to take their cars, their food, their everything, their agriculture. I changed that.",S,"AP,PB",,,1,,,S,"PB, AP, AE, IT",,,1,,TRUE,FALSE
"But, the big thing I changed is they don't want to pay. And the only reason that he can play games with NATO is because I got them to put up hundreds of billions of dollars. I said, and he is right about this, I said, no, I'm not going to support NATO if you don't pay. They asked me that question. Would you guard us against Russia at a very secret meeting of the 28 states at that time, nations at that time? And they said, no, if you don't pay, I won't do that. And you know what happened? Billions and billions of dollars came flowing in the next day and the next months. But now, we're in the same position. We're paying everybody's bills.",S-Inform,"IT,AE,SE",,,1,,,S-Inform,"IT, SE, AE",,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Let's turn to the issue of democracy. Former President Trump, I want to ask you about January 6, 2021. After you rallied your supporters that day, some of them stormed the Capitol to stop the constitutionally mandated counting of electoral votes. As President, you swore an oath to quote, ""preserve, protect and defend"", unquote, the Constitution. What do you say to voters who believe that you violated that oath through your actions and inaction on January 6 and worry that you'll do it again?","S,Q-OQ",PB,,,1,,,"S, Q-OQ",PB,,,1,,FALSE,TRUE
"TRUMP: Well, I don't think too many believe that. And let me tell you about January 6. On January 6, we had a great border, nobody coming through, very few. On January 6, we were energy independent. On January 6, we had the lowest taxes ever.",ANS,"AEX,PB,AP",,,1,,,ANS,"AEX, PB, AP",,,1,,TRUE,FALSE
"We had the lowest regulations ever. On January 6th, we were respected all over the world. All over the world, we were respected. And then he comes in and we're now laughed at. We're like a bunch of stupid people that – what happened to the United States's reputation under this man's leadership is horrible, including weaponization, which I'm sure at some point you'll be talking about where he goes after his political opponent because he can't beat them fair and square.",S-Inform,"ATTR,PER, REB",Biden,,1,,,S-Inform,"IT, ATTR, AEX",Biden,,1,,TRUE,FALSE
"TAPPER: You have 80 seconds left. My question was, what do you say to those voters who believe that you violated your constitutional oath through your actions, inaction on January 6th, 2021, and worried that you'll do it again?","TG,Q-OQ",,,,1,,,"TG, Q-OQ",,,,1,,FALSE,FALSE
"TRUMP: Well, I didn't say that to anybody. I said peacefully and patriotically. And Nancy Pelosi, if you just watched the news from two days ago, on tape to her daughter, who's a documentary filmmaker, they say, what she's saying, oh, no, it's my responsibility, I was responsible for this. Because I offered them 10,000 soldiers or National Guard. And she turned them down. And the mayor of – in writing, by the way, the mayor, in writing turned it down, the mayor of D.C., they turned it down. I offered 10,000 because I could see – I had virtually nothing to do.","S,CH","AEX,REB",,,1,,,CH,"REB, AEX, SE, AE",,,1,,FALSE,FALSE
"They asked me to go make a speech. I could see what was happening. Everybody was saying they're going to be there on January 6th. They're going to be there. And I said, you know what, that's a lot of people coming, you could feel it. You could feel it too. And you could feel it. And I said, they ought to have some National Guard or whatever. And I offered it to her. And she now admits that she turned it down. And it was the same day. She was – I don't know, you can't be very happy with her daughter because it made her into a liar. She said, I take full responsibility for January 6th.",S-Inform,PB,,,1,,,S-Inform,PB,,,1,,TRUE,TRUE
TAPPER: President Biden?,TG,,,,,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,,,,TG,,,,1,,TRUE,FALSE
"BIDEN: Look, he encouraged those folks to go up on Capitol Hill, number one. I sat in that dining room off the Oval Office – he sat there for three hours, three hours watching, begging, being begged by his vice president and a number of his colleagues and Republicans as well to do something, to call for a stop, to end it. Instead, he talked – they've talked about these people being patriots and – and great patrons of America.",ANS,ATTR,Trump,,1,,,ANS,"ATTR, PB",,,1,,TRUE,TRUE
"In fact, he says he'll not forgive them for what they've done. They've been convicted. He says he wants to commute their sentences and say that, no, he went to every single court in the nation, I don't know how many cases, scores of cases, including the Supreme Court. And they said they said – they said, no, no, this guy, this guy is responsible for doing what is being – was done. He didn't do a damn thing. And these people should be in jail. And they should be the ones who are being held accountable. And he wants to let them all out.",S-Inform,"ATTR,PB",Trump,,1,,,S,"ATTR, PB",,,1,,FALSE,FALSE
"And now he says if he loses again, such a whiner that he is, that there could be a bloodbath.",S,ATTR,Trump,,1,,,S,ATTR,,,1,,TRUE,TRUE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,"TT, THK",,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"TRUMP: What they've done to some people that are so innocent, you ought to be ashamed of yourself, what you have done, how you've destroyed the lives of so many people. When they ripped down Portland, when they ripped down many other cities, you go to Minnesota, Minneapolis, what they've done there with the fires all over the city, if I didn't bring in the National Guard, that city would have been destroyed.","ANS,CH","ATTR,PER",Biden,,1,,,"ANS, CH","ATTR, PER, AF, AE",Biden,,1,,FALSE,FALSE
When you look at all of the – they took over big chunks of Seattle. I was all set to bring in the National Guard. They heard that. They saw them coming and they left immediately. What he said about this whole subject is so off. Peacefully patriotic.,S,"ATTR,APAT",Biden,,1,,,S,"ATTR, AE, APAT",Biden,,1,,TRUE,FALSE
"One other thing, the ""unselect committee,"" which is basically two horrible Republicans that are all gone now, out of office, and Democrats, all Democrats, they destroyed and deleted all of the information they found because they found out we were right. We were right. And they deleted and destroyed all of the information. They should go to jail for that.",S,"ATTR,PER",Opponent Group,,1,,,S,"ATTR, PER, AF",Opponent group,,1,,TRUE,FALSE
"If a Republican did that, they'd go to jail.",S,,,,1,,,S,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"President Biden, I want to give you a minute.",TG,,,,1,,,TG,,,,1,,TRUE,FALSE
